2024-05-17 23:45:29, AirTemperature: 0.0C, AirHumidity: 0.0%, WaterTemperature: 0.0C, WaterDO: 0.0mg/L 
2024-05-17 23:46:29, AirTemperature: 27.5C, AirHumidity: 59.8%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-17 23:47:29, AirTemperature: 27.5C, AirHumidity: 59.8%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-17 23:48:29, AirTemperature: 27.5C, AirHumidity: 59.8%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-17 23:49:29, AirTemperature: 27.5C, AirHumidity: 59.8%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-17 23:50:29, AirTemperature: 27.5C, AirHumidity: 59.8%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-17 23:51:29, AirTemperature: 27.5C, AirHumidity: 59.8%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-17 23:52:29, AirTemperature: 27.5C, AirHumidity: 59.8%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-17 23:53:29, AirTemperature: 27.6C, AirHumidity: 59.8%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-17 23:54:29, AirTemperature: 27.6C, AirHumidity: 59.7%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-17 23:55:29, AirTemperature: 27.6C, AirHumidity: 59.7%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-17 23:56:29, AirTemperature: 27.6C, AirHumidity: 59.7%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-17 23:57:29, AirTemperature: 27.6C, AirHumidity: 59.7%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-17 23:58:29, AirTemperature: 27.6C, AirHumidity: 59.7%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-17 23:59:29, AirTemperature: 27.6C, AirHumidity: 59.7%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:00:29, AirTemperature: 27.6C, AirHumidity: 59.7%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:01:29, AirTemperature: 27.6C, AirHumidity: 59.7%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:02:29, AirTemperature: 27.6C, AirHumidity: 59.7%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:03:29, AirTemperature: 27.6C, AirHumidity: 59.7%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:04:29, AirTemperature: 27.6C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:05:29, AirTemperature: 27.7C, AirHumidity: 59.7%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:06:29, AirTemperature: 27.6C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:07:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:08:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:09:29, AirTemperature: 27.6C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:10:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:11:29, AirTemperature: 27.6C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:12:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:13:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:14:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:15:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:16:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:17:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:18:29, AirTemperature: 27.7C, AirHumidity: 59.5%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:19:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:20:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:21:29, AirTemperature: 27.7C, AirHumidity: 59.6%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:22:29, AirTemperature: 27.7C, AirHumidity: 59.5%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:23:29, AirTemperature: 27.7C, AirHumidity: 59.5%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:24:29, AirTemperature: 27.7C, AirHumidity: 59.5%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:25:29, AirTemperature: 27.7C, AirHumidity: 59.5%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:26:29, AirTemperature: 27.7C, AirHumidity: 59.5%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:27:29, AirTemperature: 27.7C, AirHumidity: 59.5%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:28:29, AirTemperature: 27.7C, AirHumidity: 59.5%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:29:29, AirTemperature: 27.7C, AirHumidity: 59.5%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:30:29, AirTemperature: 27.7C, AirHumidity: 59.5%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:31:29, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.77mg/L 
2024-05-18 00:32:29, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:33:29, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:34:29, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:35:29, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:36:29, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:37:29, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:38:29, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:39:29, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:40:29, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:41:29, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:42:12, AirTemperature: 0.0C, AirHumidity: 0.0%, WaterTemperature: 0.0C, WaterDO: 0.0mg/L 
2024-05-18 00:42:49, AirTemperature: 0.0C, AirHumidity: 0.0%, WaterTemperature: 0.0C, WaterDO: 0.0mg/L 
2024-05-18 00:43:49, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:44:49, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:45:49, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:46:49, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.5mg/L 
2024-05-18 00:47:49, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:48:49, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:49:49, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:50:49, AirTemperature: 27.7C, AirHumidity: 59.4%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:51:49, AirTemperature: 27.7C, AirHumidity: 59.3%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 00:52:49, AirTemperature: 27.7C, AirHumidity: 59.3%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:53:49, AirTemperature: 27.7C, AirHumidity: 59.3%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:54:49, AirTemperature: 27.7C, AirHumidity: 59.3%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:55:49, AirTemperature: 27.7C, AirHumidity: 59.3%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:56:49, AirTemperature: 27.7C, AirHumidity: 59.2%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:57:49, AirTemperature: 27.7C, AirHumidity: 59.2%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:58:49, AirTemperature: 27.7C, AirHumidity: 59.2%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 00:59:49, AirTemperature: 27.7C, AirHumidity: 59.2%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:00:49, AirTemperature: 27.7C, AirHumidity: 59.2%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:01:49, AirTemperature: 27.8C, AirHumidity: 59.2%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:02:49, AirTemperature: 27.7C, AirHumidity: 59.2%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:03:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:04:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:05:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:06:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:07:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:08:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:09:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:10:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:11:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:12:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:13:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:14:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:15:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:16:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:17:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:18:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:19:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:20:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:21:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:22:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:23:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:24:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:25:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.5mg/L 
2024-05-18 01:26:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:27:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:28:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:29:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:30:49, AirTemperature: 27.7C, AirHumidity: 59.1%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:31:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:32:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:33:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:34:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:35:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:36:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:37:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:38:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:39:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
2024-05-18 01:40:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.22mg/L 
2024-05-18 01:41:49, AirTemperature: 27.7C, AirHumidity: 59.0%, WaterTemperature: 23C, WaterDO: 0.0mg/L 
